symbol,stop_pct,target_pct,trail_pct,slippage_bps,commission,bars,first_timestamp,last_timestamp,ending_equity,return_pct,trades,wins,losses,win_rate_pct,gross_profit,gross_loss,profit_factor,max_drawdown_pct,exit_counts
ES=F,0.5,2.0,1.0,0.0,0.0,473,2026-06-17T00:00:00+00:00,2026-07-17T00:00:00+00:00,99967.900681,-0.03209931900000074,18,8,10,44.44444444444444,321.95930908250085,354.0492771162506,0.9093629895388456,0.1870174348623333,"{""regular_stop_sell"": 4, ""sell"": 10, ""trailing_stop_sell"": 4}"
ES=F,0.5,2.0,1.0,0.0,2.5,473,2026-06-17T00:00:00+00:00,2026-07-17T00:00:00+00:00,99877.900681,-0.12209931900000193,18,8,10,44.44444444444444,321.95930908250085,354.0492771162506,0.9093629895388456,0.26199363735129266,"{""regular_stop_sell"": 4, ""sell"": 10, ""trailing_stop_sell"": 4}"
ES=F,0.5,2.0,1.0,5.0,0.0,473,2026-06-17T00:00:00+00:00,2026-07-17T00:00:00+00:00,99719.006757,-0.28099324300000506,20,7,13,35.0,247.00236160453596,527.9852031874201,0.46782061336832004,0.40595495090166517,"{""regular_stop_sell"": 6, ""sell"": 10, ""trailing_stop_sell"": 4}"
ES=F,0.5,2.0,1.0,5.0,2.5,473,2026-06-17T00:00:00+00:00,2026-07-17T00:00:00+00:00,99619.006757,-0.38099324300000514,20,7,13,35.0,247.00236160453596,527.9852031874201,0.46782061336832004,0.4909370464540001,"{""regular_stop_sell"": 6, ""sell"": 10, ""trailing_stop_sell"": 4}"
ES=F,0.5,2.0,2.0,0.0,0.0,473,2026-06-17T00:00:00+00:00,2026-07-17T00:00:00+00:00,100100.557169,0.1005571690000151,17,8,9,47.05882352941176,412.01788009000023,311.4518724899996,1.3228942141076059,0.17531322284709921,"{""regular_stop_sell"": 5, ""sell"": 11, ""take_profit_sell"": 1}"
ES=F,0.5,2.0,2.0,0.0,2.5,473,2026-06-17T00:00:00+00:00,2026-07-17T00:00:00+00:00,100015.557169,0.01555716900001336,17,8,9,47.05882352941176,412.01788009000023,311.4518724899996,1.3228942141076059,0.20036790023965273,"{""regular_stop_sell"": 5, ""sell"": 11, ""take_profit_sell"": 1}"
ES=F,0.5,2.0,2.0,5.0,0.0,473,2026-06-17T00:00:00+00:00,2026-07-17T00:00:00+00:00,99903.644438,-0.09635556199999451,18,6,12,33.33333333333333,348.8347111148971,445.18090058793365,0.783579687839717,0.24593542328152224,"{""regular_stop_sell"": 7, ""sell"": 10, ""take_profit_sell"": 1}"
ES=F,0.5,2.0,2.0,5.0,2.5,473,2026-06-17T00:00:00+00:00,2026-07-17T00:00:00+00:00,99813.644438,-0.1863555619999957,18,6,12,33.33333333333333,348.8347111148971,445.18090058793365,0.783579687839717,0.2963635958253371,"{""regular_stop_sell"": 7, ""sell"": 10, ""take_profit_sell"": 1}"
ES=F,0.5,4.0,0.5,0.0,0.0,473,2026-06-17T00:00:00+00:00,2026-07-17T00:00:00+00:00,99907.472631,-0.09252736900000613,33,12,21,36.36363636363637,330.9908342087507,423.5010307287504,0.7815585091710158,0.1956224017157518,"{""sell"": 9, ""trailing_stop_sell"": 24}"
ES=F,0.5,4.0,0.5,0.0,2.5,473,2026-06-17T00:00:00+00:00,2026-07-17T00:00:00+00:00,99742.472631,-0.25752736899999906,33,12,21,36.36363636363637,330.9908342087507,423.5010307287504,0.7815585091710158,0.3178023014647261,"{""sell"": 9, ""trailing_stop_sell"": 24}"
