timestamp,symbol,open,high,low,close,volume,source
2026-06-17T00:00:00+00:00,ES=F,7592.0,7600.5,7592.0,7597.0,0.0,yfinance_public_historical
2026-06-17T01:00:00+00:00,ES=F,7597.0,7605.5,7595.25,7605.5,7625.0,yfinance_public_historical
2026-06-17T02:00:00+00:00,ES=F,7605.25,7605.75,7601.25,7602.5,5360.0,yfinance_public_historical
2026-06-17T03:00:00+00:00,ES=F,7602.5,7606.25,7598.75,7606.0,4053.0,yfinance_public_historical
2026-06-17T04:00:00+00:00,ES=F,7605.25,7606.5,7601.0,7606.0,3807.0,yfinance_public_historical
2026-06-17T05:00:00+00:00,ES=F,7606.0,7608.0,7603.0,7604.0,5934.0,yfinance_public_historical
2026-06-17T06:00:00+00:00,ES=F,7603.75,7609.25,7601.25,7609.0,8558.0,yfinance_public_historical
2026-06-17T07:00:00+00:00,ES=F,7608.75,7612.5,7603.25,7605.75,13618.0,yfinance_public_historical
2026-06-17T08:00:00+00:00,ES=F,7605.75,7608.25,7591.75,7599.75,17758.0,yfinance_public_historical
2026-06-17T09:00:00+00:00,ES=F,7600.0,7602.75,7590.5,7592.25,14221.0,yfinance_public_historical
2026-06-17T10:00:00+00:00,ES=F,7592.25,7598.25,7585.25,7591.0,15797.0,yfinance_public_historical
2026-06-17T11:00:00+00:00,ES=F,7591.25,7597.75,7583.0,7586.5,15997.0,yfinance_public_historical
2026-06-17T12:00:00+00:00,ES=F,7586.75,7596.5,7586.25,7595.25,25556.0,yfinance_public_historical
2026-06-17T13:00:00+00:00,ES=F,7595.25,7600.25,7581.0,7581.0,155678.0,yfinance_public_historical
2026-06-17T14:00:00+00:00,ES=F,7581.25,7604.25,7560.5,7572.5,242566.0,yfinance_public_historical
2026-06-17T15:00:00+00:00,ES=F,7572.25,7591.25,7568.0,7588.75,131982.0,yfinance_public_historical
2026-06-17T16:00:00+00:00,ES=F,7589.0,7593.25,7581.5,7582.75,74434.0,yfinance_public_historical
2026-06-17T17:00:00+00:00,ES=F,7582.5,7589.75,7568.5,7588.75,100304.0,yfinance_public_historical
2026-06-17T18:00:00+00:00,ES=F,7588.25,7590.75,7514.5,7540.75,344637.0,yfinance_public_historical
2026-06-17T19:00:00+00:00,ES=F,7540.5,7552.0,7472.25,7492.5,419599.0,yfinance_public_historical
2026-06-17T20:00:00+00:00,ES=F,7492.25,7515.25,7490.0,7511.0,75472.0,yfinance_public_historical
2026-06-17T22:00:00+00:00,ES=F,7512.5,7527.75,7504.25,7525.5,0.0,yfinance_public_historical
2026-06-17T23:00:00+00:00,ES=F,7525.75,7541.25,7524.25,7541.25,9380.0,yfinance_public_historical
2026-06-18T00:00:00+00:00,ES=F,7541.5,7560.5,7539.75,7550.75,22266.0,yfinance_public_historical
2026-06-18T01:00:00+00:00,ES=F,7550.75,7561.25,7550.0,7553.0,11482.0,yfinance_public_historical
2026-06-18T02:00:00+00:00,ES=F,7553.0,7559.75,7552.0,7556.75,5056.0,yfinance_public_historical
2026-06-18T03:00:00+00:00,ES=F,7556.5,7558.75,7550.25,7555.0,5849.0,yfinance_public_historical
2026-06-18T04:00:00+00:00,ES=F,7552.5,7553.5,7539.25,7544.75,7482.0,yfinance_public_historical
2026-06-18T05:00:00+00:00,ES=F,7545.0,7550.5,7542.75,7546.5,5516.0,yfinance_public_historical
2026-06-18T06:00:00+00:00,ES=F,7546.25,7557.25,7541.0,7556.75,11598.0,yfinance_public_historical
2026-06-18T07:00:00+00:00,ES=F,7556.5,7559.5,7550.25,7559.25,13696.0,yfinance_public_historical
2026-06-18T08:00:00+00:00,ES=F,7559.5,7568.25,7547.0,7547.75,19570.0,yfinance_public_historical
2026-06-18T09:00:00+00:00,ES=F,7548.25,7564.0,7545.75,7563.25,13493.0,yfinance_public_historical
2026-06-18T10:00:00+00:00,ES=F,7563.25,7564.75,7551.5,7553.5,14222.0,yfinance_public_historical
2026-06-18T11:00:00+00:00,ES=F,7553.5,7554.75,7530.75,7543.25,25510.0,yfinance_public_historical
2026-06-18T12:00:00+00:00,ES=F,7543.25,7565.0,7540.75,7560.5,36422.0,yfinance_public_historical
2026-06-18T13:00:00+00:00,ES=F,7560.5,7581.5,7535.5,7544.0,251015.0,yfinance_public_historical
2026-06-18T14:00:00+00:00,ES=F,7544.25,7570.75,7539.0,7566.25,215022.0,yfinance_public_historical
2026-06-18T15:00:00+00:00,ES=F,7566.5,7568.75,7541.0,7560.5,156245.0,yfinance_public_historical
2026-06-18T16:00:00+00:00,ES=F,7560.25,7570.5,7555.0,7564.0,96918.0,yfinance_public_historical
2026-06-18T17:00:00+00:00,ES=F,7564.0,7579.0,7561.5,7567.0,77208.0,yfinance_public_historical
2026-06-18T18:00:00+00:00,ES=F,7567.0,7568.0,7559.25,7561.5,80739.0,yfinance_public_historical
