timestamp,symbol,open,high,low,close,volume,source
2026-06-17T00:00:00+00:00,BTC-USD,65616.640625,65790.1015625,65616.640625,65644.671875,0.0,yfinance_public_historical
2026-06-17T01:00:00+00:00,BTC-USD,65649.5703125,65890.8828125,65431.4296875,65871.0234375,7542784.0,yfinance_public_historical
2026-06-17T02:00:00+00:00,BTC-USD,65882.890625,66072.0078125,65720.7578125,65847.9921875,0.0,yfinance_public_historical
2026-06-17T03:00:00+00:00,BTC-USD,65847.9921875,65847.9921875,65649.890625,65785.2265625,0.0,yfinance_public_historical
2026-06-17T04:00:00+00:00,BTC-USD,65806.34375,65977.1875,65729.6796875,65831.7265625,0.0,yfinance_public_historical
2026-06-17T05:00:00+00:00,BTC-USD,65824.0,65922.421875,65685.5,65768.1015625,0.0,yfinance_public_historical
2026-06-17T06:00:00+00:00,BTC-USD,65769.6875,65832.421875,65517.359375,65554.3828125,0.0,yfinance_public_historical
2026-06-17T07:00:00+00:00,BTC-USD,65550.9375,65645.1015625,65185.3203125,65472.28125,265578496.0,yfinance_public_historical
2026-06-17T08:00:00+00:00,BTC-USD,65463.4296875,65501.51171875,64781.4296875,64861.96875,0.0,yfinance_public_historical
2026-06-17T09:00:00+00:00,BTC-USD,64857.26953125,65015.01953125,64782.01171875,64849.921875,626450432.0,yfinance_public_historical
2026-06-17T10:00:00+00:00,BTC-USD,64855.0,64936.2890625,64703.53125,64739.51171875,282374144.0,yfinance_public_historical
2026-06-17T11:00:00+00:00,BTC-USD,64750.94140625,64820.80859375,64494.01953125,64749.51953125,322129920.0,yfinance_public_historical
2026-06-17T12:00:00+00:00,BTC-USD,64752.390625,65036.55859375,64529.98046875,64983.37890625,0.0,yfinance_public_historical
2026-06-17T13:00:00+00:00,BTC-USD,64975.73828125,65315.76953125,64781.4296875,65225.0,0.0,yfinance_public_historical
2026-06-17T14:00:00+00:00,BTC-USD,65189.3203125,65405.58984375,64728.08984375,65040.8984375,0.0,yfinance_public_historical
2026-06-17T15:00:00+00:00,BTC-USD,65063.359375,65798.2578125,64936.46875,65696.9609375,50235392.0,yfinance_public_historical
2026-06-17T16:00:00+00:00,BTC-USD,65729.5078125,66370.421875,65664.0234375,65802.5703125,1387710464.0,yfinance_public_historical
2026-06-17T17:00:00+00:00,BTC-USD,65819.0234375,66124.0,65745.359375,66030.0078125,0.0,yfinance_public_historical
2026-06-17T18:00:00+00:00,BTC-USD,65923.6328125,65985.46875,64828.0,65457.96875,2484107264.0,yfinance_public_historical
2026-06-17T19:00:00+00:00,BTC-USD,65471.0390625,65607.1484375,63995.0390625,64256.828125,2266636288.0,yfinance_public_historical
2026-06-17T20:00:00+00:00,BTC-USD,64216.48828125,64428.12109375,64135.671875,64370.66015625,384681984.0,yfinance_public_historical
2026-06-17T21:00:00+00:00,BTC-USD,64373.75,64388.8515625,64093.640625,64196.98046875,321632256.0,yfinance_public_historical
2026-06-17T22:00:00+00:00,BTC-USD,64181.01171875,64370.55078125,63860.96875,64234.0,163862528.0,yfinance_public_historical
2026-06-17T23:00:00+00:00,BTC-USD,64241.55078125,64467.91015625,64187.46875,64452.66015625,554749952.0,yfinance_public_historical
2026-06-18T00:00:00+00:00,BTC-USD,64457.578125,64645.98828125,64395.98828125,64399.98828125,351432704.0,yfinance_public_historical
2026-06-18T01:00:00+00:00,BTC-USD,64399.98828125,64751.921875,64399.98828125,64484.25,0.0,yfinance_public_historical
2026-06-18T02:00:00+00:00,BTC-USD,64495.671875,64701.4296875,64417.109375,64620.01171875,0.0,yfinance_public_historical
2026-06-18T03:00:00+00:00,BTC-USD,64609.98046875,64611.7109375,64191.8515625,64215.05078125,256407552.0,yfinance_public_historical
